,pid,n,n_agg,b,acts,e_noise,d_r,d_a
0,-4.585697007492328e+18,16.0,2.0,8.0,1.0,0.0,7.5599974639071785,6.54024494755116
1,5.022789524840366e+18,16.0,2.0,16.0,1.0,0.0,11.406938862097205,13.313960553380198
2,1.6603807503534534e+17,16.0,4.0,8.0,1.0,0.0,21.007740948296966,52.10426288999278
3,5.205266248179836e+18,16.0,4.0,16.0,1.0,0.0,6617.176993496681,7644.236699047727
4,-7.168271356047781e+18,16.0,8.0,8.0,1.0,0.0,20.112141676432348,24.148980135444894
5,1.853573839359305e+18,16.0,8.0,16.0,1.0,0.0,93.33282382453929,66.01024526639026
6,-2.6379337034959135e+18,32.0,2.0,8.0,1.0,0.0,8.162539621135622,2.4909252272987557
7,-2.926942961611834e+18,32.0,2.0,16.0,1.0,0.0,9.627863603199804,8.4964006001597
8,-5.486650079185146e+18,32.0,4.0,8.0,1.0,0.0,12.979075144993377,23.407651126290567
9,1.6159289678238216e+18,32.0,4.0,16.0,1.0,0.0,152.43696372663078,119.41396909228007
10,-4.623616694793305e+18,32.0,8.0,8.0,1.0,0.0,63.42996923130215,39.25279911864382
11,-8.932494368442893e+18,32.0,8.0,16.0,1.0,0.0,307.6079918877494,191.63185688957947
12,2.113747868504737e+18,64.0,2.0,8.0,1.0,0.0,12.58750544200987,12.132782017221613
13,2.1449723065648384e+18,64.0,2.0,16.0,1.0,0.0,111.39248870487373,63.332871728613725
14,6.671359364832436e+18,64.0,4.0,8.0,1.0,0.0,77.42610825250269,80.88543757362707
15,-6.612848640690525e+18,64.0,4.0,16.0,1.0,0.0,100.26209555581362,121.51117698950533
16,-4.0607311851750057e+18,64.0,8.0,8.0,1.0,0.0,81.65956798762967,44.76974096079857
17,5.111595962201943e+18,64.0,8.0,16.0,1.0,0.0,99.92425319142902,72.16794502044658
